ActionType,SubAction,Nationality,ID,ActionDate
Placements,Ex-CC-Live-In,Filipina,544482,2018-04-29 13:34:26
Placements,New Family,Filipina,545669,2018-09-26 11:31:06
Placements,New Family,Other,545692,2018-09-27 13:58:52
Placements,New Family,Filipina,545700,2018-09-27 18:29:10
Placements,New Family,Other,545704,2018-09-28 12:35:35
Placements,New Family,Filipina,545723,2018-09-29 17:05:44
Placements,New Family,Other,545733,2018-09-30 11:28:27
Placements,New Family,Other,545735,2018-09-30 11:56:03
Placements,New Family,Filipina,545736,2018-09-30 13:08:13
Placements,New Family,African,545741,2018-09-30 15:56:56
Placements,New Family,Filipina,545747,2018-10-01 19:30:55
Placements,New Family,Filipina,545750,2018-10-02 10:30:15
Placements,New Family,Other,545751,2018-10-02 11:54:18
Placements,New Family,African,545761,2018-10-02 18:32:03
Placements,New Family,Other,545764,2018-10-02 20:26:51
Placements,New Family,Filipina,999000,2018-10-02 21:55:43
Placements,New Family,Filipina,999001,2018-10-02 21:55:41
Placements,New Family,Other,999002,2018-10-02 21:55:36
Placements,New Family,Filipina,999003,2018-10-02 21:55:37
Placements,New Family,Other,999004,2018-10-02 21:55:39
Placements,New Family,Filipina,999005,2018-10-02 21:55:40
Placements,New Family,Other,999006,2018-10-02 21:55:42
Placements,New Family,Filipina,999007,2018-10-02 21:55:46
Placements,New Family,Filipina,999008,2018-10-02 21:55:45
Placements,New Family,Other,999009,2018-10-02 21:55:47
Placements,New Family,African,999010,2018-10-02 21:55:48
Placements,New Family,Filipina,999011,2018-10-02 21:55:50
Placements,New Family,Filipina,999012,2018-10-02 21:55:51
Placements,New Family,Other,999013,2018-10-02 21:55:52
Placements,New Family,Other,999014,2018-10-02 21:55:53
Placements,New Family,African,999015,2018-10-02 21:55:54
Placements,New Family,Other,999016,2018-10-02 21:55:55
Placements,New Family,Other,999017,2018-10-02 21:55:56
Placements,New Family,Filipina,999018,2018-10-02 21:55:57
Placements,New Family,Filipina,999019,2018-10-02 21:55:59
Placements,New Family,Other,999020,2018-10-02 21:55:35
Placements,New Family,Other,999021,2018-10-02 21:56:00
Placements,New Family,Filipina,999022,2018-10-02 21:56:01
Placements,New Family,Filipina,999023,2018-10-02 21:56:03
Placements,New Family,Other,999024,2018-10-02 21:56:04
Placements,New Family,Other,999025,2018-10-02 21:56:05
Placements,New Family,Filipina,999026,2018-10-02 21:56:06
Placements,New Family,Other,999027,2018-10-02 21:56:08
